=== НЕПРЕРЫВНОЕ ПОТОКОВОЕ ОБУЧЕНИЕ ИЗ ИНТЕРНЕТА (20 МИНУТ) ===

[00:50:16 | Chunk #50    | Streamed: 49.5 KB | loss      : 0.110500 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0019  observed 0.0019  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:16 | Chunk #51    | Streamed: 50.5 KB | loss      : 0.119115 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0009  observed 0.0009  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:16 | Chunk #52    | Streamed: 51.5 KB | loss      : 0.097143 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0009  observed 0.0009  gap 0.0001  (256 выстрелов) | Осталось: 19.9 мин
[00:50:16 | Chunk #53    | Streamed: 52.5 KB | loss      : 0.283890 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0033  observed 0.0032  gap 0.0001  (256 выстрелов) | Осталось: 19.9 мин
[00:50:16 | Chunk #54    | Streamed: 53.5 KB | loss      : 0.121971 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0011  observed 0.0011  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:16 | Chunk #55    | Streamed: 54.5 KB | loss      : 0.102314 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0008  observed 0.0007  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #56    | Streamed: 55.5 KB | loss      : 0.115614 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0011  observed 0.0012  gap 0.0001  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #57    | Streamed: 56.5 KB | loss      : 0.076814 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0010  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #58    | Streamed: 57.5 KB | loss      : 0.069734 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0007  observed 0.0007  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #59    | Streamed: 58.5 KB | loss      : 0.039783 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0009  observed 0.0009  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #60    | Streamed: 59.5 KB | loss      : 0.136834 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0012  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
